Symbol,Name,Share_Price
0,0,869
1,1,698
2,2,309
3,3,741
4,4,976
5,5,131
6,6,57
7,7,619
8,8,999
9,9,298
10,10,954
11,11,428
12,12,278
13,13,672
14,14,197
15,15,526
16,16,753
17,17,135
18,18,774
19,19,863
20,20,304
21,21,360
22,22,893
23,23,901
24,24,225
25,25,837
26,26,246
27,27,977
28,28,64
29,29,555
30,30,310
31,31,700
32,32,170
33,33,50
34,34,825
35,35,205
36,36,879
37,37,304
38,38,260
39,39,46
40,40,25
41,41,36
42,42,586
43,43,151
44,44,634
45,45,508
46,46,973
47,47,741
48,48,667
49,49,536
50,50,96
51,51,655
52,52,50
53,53,43
54,54,874
55,55,208
56,56,421
57,57,725
58,58,360
59,59,450
60,60,83
61,61,186
62,62,493
63,63,343
64,64,398
65,65,410
66,66,23
67,67,814
68,68,161
69,69,844
70,70,606
71,71,242
72,72,526
73,73,672
74,74,117
75,75,609
76,76,211
77,77,477
78,78,20
79,79,12
80,80,205
81,81,548
82,82,288
83,83,53
84,84,255
85,85,405
86,86,676
87,87,209
88,88,585
89,89,948
90,90,899
91,91,950
92,92,614
93,93,428
94,94,758
95,95,35
96,96,50
97,97,605
98,98,637
99,99,971
100,100,885
101,101,215
102,102,63
103,103,469
104,104,339
105,105,391
106,106,600
107,107,158
108,108,694
109,109,622
110,110,132
111,111,555
112,112,284
113,113,738
114,114,669
115,115,685
116,116,380
117,117,446
118,118,853
119,119,781
120,120,41
121,121,151
122,122,511
123,123,48
124,124,360
125,125,598
126,126,902
127,127,964
128,128,87
129,129,834
130,130,868
131,131,804
132,132,930
133,133,829
134,134,43
135,135,273
136,136,998
137,137,690
138,138,281
139,139,325
140,140,997
141,141,236
142,142,564
143,143,398
144,144,494
145,145,851
146,146,121
147,147,534
148,148,853
149,149,209
150,150,636
151,151,784
152,152,193
153,153,697
154,154,427
155,155,568
156,156,150
157,157,881
158,158,315
159,159,246
160,160,309
161,161,787
162,162,281
163,163,117
164,164,311
165,165,962
166,166,85
167,167,771
168,168,128
169,169,340
170,170,806
171,171,922
172,172,649
173,173,76
174,174,969
175,175,388
176,176,850
177,177,601
178,178,375
179,179,946
180,180,676
181,181,980
182,182,637
183,183,249
184,184,679
185,185,137
186,186,197
187,187,230
188,188,39
189,189,76
190,190,626
191,191,852
192,192,467
193,193,905
194,194,240
195,195,866
196,196,879
197,197,985
198,198,78
199,199,612
200,200,347
201,201,180
202,202,492
203,203,923
204,204,639
205,205,641
206,206,719
207,207,920
208,208,373
209,209,942
210,210,429
211,211,35
212,212,663
213,213,823
214,214,372
215,215,60
216,216,415
217,217,126
218,218,421
219,219,575
220,220,18
221,221,52
222,222,483
223,223,101
224,224,982
225,225,28
226,226,843
227,227,969
228,228,979
229,229,821
230,230,882
231,231,530
232,232,805
233,233,846
234,234,954
235,235,457
236,236,105
237,237,238
238,238,38
239,239,302
240,240,149
241,241,10
242,242,736
243,243,750
244,244,130
245,245,146
246,246,654
247,247,970
248,248,391
249,249,169
250,250,328
251,251,695
252,252,742
253,253,72
254,254,113
255,255,74
256,256,99
257,257,93
258,258,578
259,259,827
260,260,392
261,261,547
262,262,534
263,263,205
264,264,275
265,265,59
266,266,483
267,267,217
268,268,355
269,269,85
270,270,100
271,271,29
272,272,420
273,273,200
274,274,876
275,275,107
276,276,945
277,277,819
278,278,894
279,279,792
280,280,790
281,281,929
282,282,21
283,283,967
284,284,391
285,285,511
286,286,46
287,287,14
288,288,193
289,289,905
290,290,370
291,291,984
292,292,925
293,293,527
294,294,162
295,295,917
296,296,614
297,297,783
298,298,942
299,299,824
300,300,29
301,301,880
302,302,539
303,303,870
304,304,137
305,305,616
306,306,589
307,307,117
308,308,966
309,309,762
310,310,662
311,311,836
312,312,807
313,313,561
314,314,149
315,315,788
316,316,650
317,317,303
318,318,48
319,319,166
320,320,767
321,321,846
322,322,404
323,323,86
324,324,255
325,325,455
326,326,921
327,327,617
328,328,763
329,329,651
330,330,835
331,331,304
332,332,338
333,333,578
334,334,491
335,335,525
336,336,820
337,337,501
338,338,977
339,339,468
340,340,526
341,341,723
342,342,848
343,343,534
344,344,746
345,345,100
346,346,103
347,347,373
348,348,20
349,349,347
350,350,935
351,351,657
352,352,886
353,353,845
354,354,683
355,355,51
356,356,57
357,357,593
358,358,484
359,359,150
360,360,747
361,361,647
362,362,136
363,363,822
364,364,883
365,365,49
366,366,323
367,367,120
368,368,504
369,369,446
370,370,302
371,371,355
372,372,856
373,373,343
374,374,741
375,375,686
376,376,53
377,377,909
378,378,295
379,379,933
380,380,522
381,381,161
382,382,112
383,383,619
384,384,345
385,385,544
386,386,210
387,387,508
388,388,138
389,389,439
390,390,932
391,391,741
392,392,192
393,393,81
394,394,644
395,395,492
396,396,35
397,397,707
398,398,488
399,399,244
400,400,239
401,401,727
402,402,422
403,403,974
404,404,766
405,405,210
406,406,548
407,407,842
408,408,162
409,409,499
410,410,245
411,411,332
412,412,124
413,413,34
414,414,45
415,415,211
416,416,607
417,417,727
418,418,833
419,419,923
420,420,377
421,421,304
422,422,42
423,423,897
424,424,141
425,425,573
426,426,952
427,427,109
428,428,791
429,429,848
430,430,676
431,431,959
432,432,808
433,433,436
434,434,911
435,435,661
436,436,281
437,437,827
438,438,52
439,439,248
440,440,401
441,441,561
442,442,992
443,443,683
444,444,895
445,445,181
446,446,442
447,447,715
448,448,330
449,449,216
450,450,427
451,451,465
452,452,395
453,453,524
454,454,793
455,455,864
456,456,49
457,457,119
458,458,970
459,459,241
460,460,625
461,461,581
462,462,118
463,463,565
464,464,746
465,465,760
466,466,999
467,467,996
468,468,849
469,469,191
470,470,272
471,471,824
472,472,783
473,473,534
474,474,543
475,475,702
476,476,506
477,477,120
478,478,809
479,479,512
480,480,681
481,481,397
482,482,134
483,483,457
484,484,322
485,485,883
486,486,196
487,487,526
488,488,641
489,489,220
490,490,448
491,491,240
492,492,777
493,493,149
494,494,878
495,495,575
496,496,876
497,497,160
498,498,497
499,499,568
500,500,863
501,501,619
502,502,570
503,503,231
504,504,916
505,505,945
506,506,949
507,507,558
508,508,731
509,509,200
510,510,46
511,511,161
512,512,828
513,513,899
514,514,309
515,515,573
516,516,409
517,517,110
518,518,522
519,519,735
520,520,534
521,521,15
522,522,846
523,523,23
524,524,732
525,525,82
526,526,917
527,527,381
528,528,120
529,529,664
530,530,800
531,531,812
532,532,114
533,533,642
534,534,175
535,535,58
536,536,614
537,537,116
538,538,558
539,539,348
540,540,342
541,541,775
542,542,430
543,543,315
544,544,817
545,545,447
546,546,49
547,547,571
548,548,498
549,549,134
550,550,774
551,551,602
552,552,922
553,553,721
554,554,855
555,555,176
556,556,959
557,557,82
558,558,986
559,559,947
560,560,251
561,561,761
562,562,561
563,563,552
564,564,736
565,565,576
566,566,866
567,567,193
568,568,650
569,569,556
570,570,237
571,571,766
572,572,329
573,573,385
574,574,657
575,575,719
576,576,703
577,577,470
578,578,727
579,579,871
580,580,698
581,581,909
582,582,594
583,583,73
584,584,902
585,585,339
586,586,396
587,587,569
588,588,45
589,589,707
590,590,552
591,591,96
592,592,669
593,593,853
594,594,725
595,595,717
596,596,831
597,597,29
598,598,863
599,599,33
600,600,784
601,601,345
602,602,239
603,603,301
604,604,819
605,605,292
606,606,436
607,607,893
608,608,406
609,609,63
610,610,316
611,611,766
612,612,685
613,613,660
614,614,253
615,615,98
616,616,589
617,617,122
618,618,579
619,619,540
620,620,206
621,621,296
622,622,845
623,623,715
624,624,597
625,625,396
626,626,795
627,627,51
628,628,34
629,629,915
630,630,917
631,631,55
632,632,262
633,633,648
634,634,112
635,635,423
636,636,26
637,637,272
638,638,585
639,639,817
640,640,604
641,641,286
642,642,739
643,643,812
644,644,141
645,645,717
646,646,787
647,647,270
648,648,422
649,649,353
650,650,416
651,651,954
652,652,661
653,653,149
654,654,727
655,655,477
656,656,299
657,657,160
658,658,566
659,659,190
660,660,991
661,661,164
662,662,834
663,663,938
664,664,822
665,665,60
666,666,329
667,667,625
668,668,747
669,669,105
670,670,330
671,671,761
672,672,441
673,673,407
674,674,582
675,675,325
676,676,229
677,677,131
678,678,949
679,679,45
680,680,571
681,681,785
682,682,705
683,683,338
684,684,500
685,685,634
686,686,619
687,687,547
688,688,439
689,689,334
690,690,709
691,691,153
692,692,810
693,693,464
694,694,297
695,695,264
696,696,495
697,697,869
698,698,686
699,699,173
700,700,49
701,701,458
702,702,541
703,703,286
704,704,248
705,705,768
706,706,328
707,707,357
708,708,320
709,709,476
710,710,932
711,711,388
712,712,128
713,713,358
714,714,634
715,715,390
716,716,910
717,717,205
718,718,452
719,719,651
720,720,24
721,721,918
722,722,87
723,723,764
724,724,533
725,725,975
726,726,489
727,727,809
728,728,549
729,729,443
730,730,278
731,731,140
732,732,132
733,733,807
734,734,873
735,735,145
736,736,198
737,737,416
738,738,117
739,739,93
740,740,980
741,741,257
742,742,339
743,743,437
744,744,275
745,745,75
746,746,609
747,747,265
748,748,798
749,749,685
750,750,492
751,751,876
752,752,109
753,753,630
754,754,75
755,755,673
756,756,417
757,757,415
758,758,622
759,759,40
760,760,476
761,761,914
762,762,162
763,763,558
764,764,487
765,765,418
766,766,710
767,767,233
768,768,937
769,769,462
770,770,26
771,771,981
772,772,893
773,773,297
