Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",121.42,1.29,+1.07%,120.98,121.93,117.57,153766594,03/05/21
ACN,"Accenture Plc",249.51,2.51,+1.02%,249.24,250.68,244.44,3236400,03/05/21
ADBE,"Adobe Systems Inc",440.83,1.77,+0.40%,444.88,444.95,423.71,4614900,03/05/21
ADI,"Analog Devices",148.88,4.36,+3.02%,149,149.62,143.39,4040100,03/05/21
ADP,"Automatic Data Procs",178.26,7.25,+4.24%,171.83,179,171.5,2535800,03/05/21
ADSK,"Autodesk Inc",267.39,1.95,+0.73%,270.33,270.33,255.02,1835500,03/05/21
AKAM,"Akamai Technologies",97.13,3.69,+3.95%,94.26,97.42,92.69,3621200,03/05/21
AMAT,"Applied Materials",113.45,5.21,+4.81%,111.59,114.34,105.65,9962700,03/05/21
AMD,"Adv Micro Devices",78.52,0.77,+0.99%,79,79.48,74.2,58548898,03/05/21
ANET,"Arista Networks Inc",273.06,1.8,+0.66%,271.91,274.56,262.08,791500,03/05/21
ANSS,"Ansys Inc",308.03,1.87,+0.61%,311.93,312.57,292.79,940300,03/05/21
APH,"Amphenol Corp",61.56,-58.52,-48.73%,61.28,61.89,58.58,3589800,03/05/21
AVGO,"Broadcom Ltd",450.14,6.55,+1.48%,454.25,456,433,4241400,03/05/21
BR,"Broadridge Financial Solutions Llc",142.48,3.31,+2.38%,140.52,142.68,139.04,486300,03/05/21
CDNS,"Cadence Design Sys",126.69,-2.12,-1.65%,129.41,130.81,122.62,3755400,03/05/21
CDW,"CDW Corp",154.48,3.04,+2.01%,153.82,155.25,149.21,891100,03/05/21
CRM,"Salesforce.com Inc",210.76,5.43,+2.64%,210.01,212.35,203.22,11405900,03/05/21
CSCO,"Cisco Systems Inc",46.25,1.69,+3.79%,45.45,46.74,45.27,33197500,03/05/21
CTSH,"Cognizant Tech Sol",73.71,1.31,+1.81%,74.51,74.51,71.93,2778900,03/05/21
CTXS,"Citrix Systems Inc",135.47,4.38,+3.34%,132.11,135.65,130.19,1086900,03/05/21
DXC,"Dxc Technology Company",27.29,1.43,+5.53%,26.26,27.33,25.49,3971500,03/05/21
ENPH,"Enphase Energy Inc",143.55,-6.33,-4.22%,153.68,154.65,129,6613400,03/05/21
FFIV,"F5 Networks Inc",190.44,4.41,+2.37%,189.27,191.14,183.01,620300,03/05/21
FIS,"Fidelity National Information Services",141.14,4.21,+3.07%,138.84,141.91,137.36,5338400,03/05/21
FISV,"Fiserv Inc",119.69,4.14,+3.58%,116.98,120.45,115.52,6138500,03/05/21
FLIR,"Flir Systems Inc",54.57,1.33,+2.50%,53.65,54.73,52.95,1328600,03/05/21
FLT,"Fleetcor Technologies",282.31,4.1,+1.47%,281.62,284.4,273.52,667000,03/05/21
FTNT,"Fortinet Inc",167.57,3.64,+2.22%,165.7,168.22,161.13,1447900,03/05/21
GLW,"Corning Inc",37.46,0.5,+1.35%,37.45,37.64,35.97,3875200,03/05/21
GPN,"Global Payments Inc",198.29,3.75,+1.93%,196.72,198.99,192.79,1529200,03/05/21
HPE,"Hewlett Packard Enterprise Comp",14.4,0.36,+2.56%,14.12,14.52,13.99,14684100,03/05/21
HPQ,"HP Inc",29.75,1.68,+5.99%,28.34,29.78,28.12,13688800,03/05/21
IBM,"International Business Machines",122.83,2.72,+2.26%,120.64,123.75,120.25,6949200,03/05/21
INTC,"Intel Corp",60.74,2.41,+4.13%,59.26,61.17,58.51,39511602,03/05/21
INTU,"Intuit Inc",382.21,5.88,+1.56%,381.93,384,367.78,1588200,03/05/21
IPGP,"Ipg Photonics Corp",206.5,-0.18,-0.09%,209.4,209.4,197.46,328100,03/05/21
IT,"Gartner Inc",183.47,5.7,+3.21%,180.37,184.19,175.18,441400,03/05/21
JKHY,"Jack Henry & Assoc",151.78,4.48,+3.04%,148,152.82,146.37,853500,03/05/21
JNPR,"Juniper Networks",23.81,0.18,+0.76%,23.89,24.03,23.49,6250600,03/05/21
KEYS,"Keysight Technologies Inc Comm",134.7,2.27,+1.71%,133.88,135.33,129.09,1350700,03/05/21
KLAC,"K L A-Tencor Corp",295.87,8.25,+2.87%,292.69,297.25,278.18,1631300,03/05/21
LDOS,"Leidos Holdings Inc",90.72,1.64,+1.84%,89.9,91.26,88.85,1449200,03/05/21
LRCX,"Lam Research Corp",547.7,18.89,+3.57%,542.67,550.12,516.27,2216000,03/05/21
MA,"Mastercard Inc",360.88,11.38,+3.26%,354.92,361.79,346.42,4643200,03/05/21
MCHP,"Microchip Technology",145.44,5.35,+3.82%,144.04,145.96,135.52,3321900,03/05/21
MPWR,"Monolithic Power Sys",332.91,4.94,+1.51%,334.36,338.47,309.12,659100,03/05/21
MSFT,"Microsoft Corp",231.6,4.87,+2.15%,229.52,233.27,226.46,41872699,03/05/21
MSI,"Motorola Solutions",178.87,3.96,+2.26%,177.09,179.62,175.2,671300,03/05/21
MU,"Micron Technology",88.93,4.6,+5.45%,87.53,89.32,83.29,30329102,03/05/21
MXIM,"Maxim Integrated",88.49,2.13,+2.47%,88.58,89.04,85.33,2727600,03/05/21
NLOK,"Nortonlifelock Inc",20.19,0.09,+0.45%,20.1,20.26,19.88,5259400,03/05/21
NOW,"Servicenow Inc",486.96,-3.67,-0.75%,496.24,496.24,467.15,3232800,03/05/21
NTAP,"Netapp Inc",61.33,0.25,+0.41%,62.14,62.3,58.83,2175000,03/05/21
NVDA,"Nvidia Corp",498.46,3.65,+0.74%,502,502,467.17,13570900,03/05/21
ORCL,"Oracle Corp",69.97,4.36,+6.65%,67.31,71.72,67.31,34211400,03/05/21
PAYC,"Paycom Software Inc",375.53,26.84,+7.70%,379.28,380.88,351.73,821500,03/05/21
PAYX,"Paychex Inc",92.12,2.81,+3.15%,90.27,92.46,89.28,2374900,03/05/21
PYPL,"Paypal Holdings",239.05,-0.02,-0.01%,243.12,243.75,223.09,16830201,03/05/21
QCOM,"Qualcomm Inc",129.75,1.95,+1.53%,130.92,131.17,125.4,13292000,03/05/21
QRVO,"Qorvo Inc",171.42,6.08,+3.68%,168.43,171.85,160.06,1612000,03/05/21
SNPS,"Synopsys Inc",227.8,-2,-0.87%,230.1,231.63,217.82,1602800,03/05/21
STX,"Seagate Tech Ord Shs",73.38,1.77,+2.47%,72.88,74,71.19,4810400,03/05/21
SWKS,"Skyworks Solutions",173.44,6.23,+3.73%,168.2,173.71,159.54,3579700,03/05/21
TEL,"Te Connectivity Ltd",130.04,2.18,+1.70%,129.56,130.55,123.8,1343700,03/05/21
