Symbol,Name,Share_Price
superiorCockatoo2,superiorCockatoo2,231
anxiousIcecream9,anxiousIcecream9,570
superiorCur5,superiorCur5,934
cruelIguana8,cruelIguana8,104
enviousHawk2,enviousHawk2,315
pluckyRice6,pluckyRice6,748
jumpyWhiting0,jumpyWhiting0,113
curiousSeafowl2,curiousSeafowl2,466
aboardLapwing6,aboardLapwing6,945
zestyLlama2,zestyLlama2,73
dopeySalami3,dopeySalami3,827
insecureQuiche1,insecureQuiche1,791
awedSyrup5,awedSyrup5,463
crushedCheese6,crushedCheese6,957
drearyOatmeal8,drearyOatmeal8,574
crushedOryx4,crushedOryx4,518
debonairMoth3,debonairMoth3,211
cruelClam6,cruelClam6,150
gloomyPoultry1,gloomyPoultry1,492
pleasedMagpie7,pleasedMagpie7,427
shamefulAbalone2,shamefulAbalone2,487
somberOrange1,somberOrange1,751
importedCaribou6,importedCaribou6,355
blissfulSardines1,blissfulSardines1,31
enragedPlover1,enragedPlover1,341
puzzledSalt6,puzzledSalt6,210
abjectFish1,abjectFish1,151
resolvedThrushe3,resolvedThrushe3,801
grizzledPlover9,grizzledPlover9,446
truthfulCardinal9,truthfulCardinal9,230
shamefulTortoise9,shamefulTortoise9,99
relievedBurritos5,relievedBurritos5,292
ardentUnicorn3,ardentUnicorn3,984
euphoricRice9,euphoricRice9,291
wrathfulCordial9,wrathfulCordial9,560
enviousBasmati7,enviousBasmati7,635
amusedRice6,amusedRice6,317
finickyLapwing0,finickyLapwing0,309
outlyingTeal1,outlyingTeal1,922
debonairGnu4,debonairGnu4,281
panickySeafowl9,panickySeafowl9,681
finickyBobolink2,finickyBobolink2,483
resolvedRelish1,resolvedRelish1,143
cynicalRuffs3,cynicalRuffs3,346
needyWasp7,needyWasp7,622
amusedRuffs4,amusedRuffs4,867
pluckyLard3,pluckyLard3,229
gleefulWasp9,gleefulWasp9,183
artisticPorpoise3,artisticPorpoise3,745
superiorFerret4,superiorFerret4,122
outlyingLion9,outlyingLion9,290
alertPaella4,alertPaella4,812
jumpyJaguar5,jumpyJaguar5,701
bubblyPoultry6,bubblyPoultry6,290
mellowCheetah9,mellowCheetah9,241
mercifulLemur2,mercifulLemur2,953
thrilledIcecream7,thrilledIcecream7,425
emptyCurlew8,emptyCurlew8,748
tautSalami0,tautSalami0,641
peacefulMandrill2,peacefulMandrill2,330
wakefulDove6,wakefulDove6,327
contentMallard6,contentMallard6,654
chicSnail0,chicSnail0,235
pitifulHoopoe7,pitifulHoopoe7,584
pridefulPepper3,pridefulPepper3,988
somberThrushe6,somberThrushe6,691
aboardCockatoo9,aboardCockatoo9,183
vengefulSausage9,vengefulSausage9,655
merePudding1,merePudding1,463
joyfulTruffle7,joyfulTruffle7,379
jubilantJaguar0,jubilantJaguar0,360
enviousCamel5,enviousCamel5,583
artisticOrange5,artisticOrange5,570
eagerBittern6,eagerBittern6,693
innocentCod4,innocentCod4,503
somberTuna4,somberTuna4,946
morbidWasp0,morbidWasp0,386
crushedFlamingo0,crushedFlamingo0,302
excludedCod5,excludedCod5,255
needyBurritos7,needyBurritos7,809
cheerfulLlama6,cheerfulLlama6,263
soreJaguar0,soreJaguar0,402
enviousWidgeon5,enviousWidgeon5,705
solemnMare1,solemnMare1,489
brainyUnicorn3,brainyUnicorn3,549
curiousAntelope1,curiousAntelope1,265
hushedPepper9,hushedPepper9,277
artisticSalami1,artisticSalami1,96
crummyPolenta9,crummyPolenta9,945
debonairClam5,debonairClam5,805
mercifulSausage2,mercifulSausage2,840
aboardIcecream8,aboardIcecream8,972
shyLeopard3,shyLeopard3,268
goofyPorpoise2,goofyPorpoise2,98
superiorOil7,superiorOil7,114
jubilantGarlic5,jubilantGarlic5,319
pitifulDove9,pitifulDove9,673
dreadfulRelish1,dreadfulRelish1,996
amazedOatmeal8,amazedOatmeal8,365
truthfulPie8,truthfulPie8,228
offendedWidgeon9,offendedWidgeon9,308
madToucan5,madToucan5,827
gutturalBoars8,gutturalBoars8,630
aloofTacos8,aloofTacos8,215
fondGatorade5,fondGatorade5,362
jubilantMussel2,jubilantMussel2,97
lyingTacos3,lyingTacos3,953
contentBuck4,contentBuck4,607
importedFalcon7,importedFalcon7,220
worriedDoughnut4,worriedDoughnut4,720
joyfulSnipe7,joyfulSnipe7,709
kindGarlic6,kindGarlic6,703
curiousMacaw6,curiousMacaw6,268
debonairRuffs0,debonairRuffs0,935
giddyHoopoe7,giddyHoopoe7,44
boredPepper0,boredPepper0,718
pacifiedEland1,pacifiedEland1,577
bubblyPolenta2,bubblyPolenta2,313
selfishLapwing7,selfishLapwing7,131
aboardFalcon2,aboardFalcon2,369
mereToucan7,mereToucan7,797
peskyPlover2,peskyPlover2,536
boastfulOwl0,boastfulOwl0,397
contentPiglet3,contentPiglet3,473
truthfulChowder6,truthfulChowder6,142
ferventMagpie4,ferventMagpie4,685
annoyedJaguar7,annoyedJaguar7,52
finickyChough3,finickyChough3,851
needyHoopoe3,needyHoopoe3,488
contentCamel0,contentCamel0,400
fondBurritos2,fondBurritos2,303
truthfulCordial7,truthfulCordial7,489
enragedCrackers3,enragedCrackers3,305
murkyChile7,murkyChile7,855
fondFish4,fondFish4,387
madUnicorn7,madUnicorn7,756
jealousBuck1,jealousBuck1,848
gleefulJaguar7,gleefulJaguar7,872
tautGarlic2,tautGarlic2,153
grumpyBuck9,grumpyBuck9,157
peskyEggs4,peskyEggs4,997
jealousCake7,jealousCake7,933
curiousPiglet0,curiousPiglet0,623
spiritedCaribou3,spiritedCaribou3,945
sheepishHeron1,sheepishHeron1,841
sincereSyrup0,sincereSyrup0,76
betrayedCrackers2,betrayedCrackers2,69
humorousRat4,humorousRat4,49
blissfulCaviar4,blissfulCaviar4,503
selfishOatmeal9,selfishOatmeal9,150
gleefulSalami1,gleefulSalami1,133
grudgingTacos6,grudgingTacos6,353
lazyQuiche9,lazyQuiche9,705
puzzledLlama3,puzzledLlama3,991
ardentBass5,ardentBass5,824
somberTuna1,somberTuna1,328
dopeyBuck2,dopeyBuck2,82
emptyAbalone6,emptyAbalone6,662
troubledCod3,troubledCod3,333
yearningSalami0,yearningSalami0,945
gleefulEland2,gleefulEland2,669
hushedChowder6,hushedChowder6,371
dearTortoise5,dearTortoise5,283
alertDingo2,alertDingo2,64
fondSeagull3,fondSeagull3,629
forsakenChile6,forsakenChile6,817
guiltyTruffle2,guiltyTruffle2,555
superiorTortoise0,superiorTortoise0,217
mereCake6,mereCake6,150
pluckyCow3,pluckyCow3,492
worldlyIcecream6,worldlyIcecream6,709
wrathfulMoth3,wrathfulMoth3,752
lyingThrush8,lyingThrush8,838
mellowLapwing6,mellowLapwing6,601
relievedSwift1,relievedSwift1,63
thrilledWhiting7,thrilledWhiting7,983
jumpyMuesli4,jumpyMuesli4,562
panickySausage2,panickySausage2,325
hushedDunbird3,hushedDunbird3,463
cautiousGatorade6,cautiousGatorade6,613
spiritedTacos1,spiritedTacos1,419
brainySeagull3,brainySeagull3,356
zestyCaribou6,zestyCaribou6,500
