Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMT,"American Tower Corp",200,-1.19,-0.59%,202.83,204.07,198.02,3455800,03/05/21
ARE,"Alexandria Real Estate Equities",158.35,0.35999999999999,+0.23%,158.53,158.98,154.37,1365900,03/05/21
AVB,"Avalonbay Communities",177.65,-0.40000000000001,-0.22%,178.9,180,174.85,1136500,03/05/21
BXP,"Boston Properties",102.26,1.34,+1.33%,101.83,102.88,99.47,834200,03/05/21
CBRE,"CBRE Group Inc",77.28,0.65000000000001,+0.85%,77.12,78.11,74.77,1727900,03/05/21
CCI,"Crown Castle International Corp",150.15,1.02,+0.68%,149.94,151.01,146.15,3773800,03/05/21
DLR,"Digital Realty Trust",132,3,+2.33%,129,132.59,126.33,2783200,03/05/21
DRE,"Duke Realty Corp",38.96,0.86,+2.26%,38.28,39.13,37.74,1479200,03/05/21
EQIX,"Equinix Inc",610.56,6.99,+1.16%,606.35,616.48,586.73,864300,03/05/21
EQR,"Equity Residential",68.86,1.14,+1.68%,68.06,69.07,67.01,1889200,03/05/21
ESS,"Essex Property Trust",264.89,2.67,+1.02%,263.65,265.7,258.02,383700,03/05/21
EXR,"Extra Space Storage Inc",123.8,1.78,+1.46%,122.8,124.35,120.91,622300,03/05/21
FRT,"Federal Realty Investment Trust",105.76,2.08,+2.01%,104.83,106,102.01,623000,03/05/21
HST,"Host Marriott Financial Trust",15.8,-0.04,-0.25%,16,16,15.27,6983500,03/05/21
IRM,"Iron Mountain Inc",35.79,0.87,+2.49%,34.98,35.98,34.84,2784600,03/05/21
KIM,"Kimco Realty Corp",19.02,0.39,+2.09%,18.67,19.07,18.16,3728700,03/05/21
MAA,"Mid-America Apartment Communities",133.91,1.21,+0.91%,133.11,134.22,131.87,892800,03/05/21
O,"Realty Income Corp",59.96,0.51,+0.86%,59.67,60.06,58.27,3786200,03/05/21
PEAK,"Healthpeak Properties Inc",29.81,0.32,+1.09%,29.59,29.92,28.86,3377600,03/05/21
PLD,"Prologis Inc",97.37,1.73,+1.81%,95.76,97.81,94.14,3552800,03/05/21
PSA,"Public Storage",235.05,3.7,+1.60%,231.8,235.53,229.5,667800,03/05/21
REG,"Regency Centers Corp",57.68,1.4,+2.49%,56.84,57.99,55.35,1303600,03/05/21
SBAC,"SBA Communications",242.19,6.27,+2.66%,237.1,244.01,232.88,1214700,03/05/21
SLG,"SL Green Realty Corp",72.54,1.12,+1.57%,72.21,73,68.83,1093300,03/05/21
SPG,"Simon Property Group",111.17,1.06,+0.96%,111.56,112.29,104.12,4576600,03/05/21
UDR,"United Dominion Realty Trust",42.55,0.20999999999999,+0.50%,42.66,42.94,41.69,2311100,03/05/21
VNO,"Vornado Realty Trust",44.8,0.34,+0.76%,44.93,45.4,43.26,2878800,03/05/21
VTR,"Ventas Inc",55.14,1.72,+3.22%,53.8,55.46,52.93,2490600,03/05/21
WELL,"Welltower Inc",70.26,0.53,+0.76%,70.04,70.76,68.46,2322300,03/05/21
WY,"Weyerhaeuser Company",33.76,0.95,+2.90%,33.09,33.85,31.8,6674000,03/05/21
